T Cv
1.815082 1.500628
1.813267 1.500678
1.811454 1.500677
1.809642 1.500674
1.807833 1.500696
1.806025 1.500723
1.804219 1.500729
1.802414 1.500706
1.800612 1.500687
1.798811 1.500700
1.797013 1.500722
1.795216 1.500697
1.793420 1.500721
1.791627 1.500712
1.789835 1.500729
1.788045 1.500739
1.786257 1.500735
1.784471 1.500784
1.782687 1.500763
1.780904 1.500765
1.779123 1.500730
1.777344 1.500703
1.775567 1.500711
1.773791 1.500697
1.772017 1.500668
1.770245 1.500701
1.768475 1.500688
1.766707 1.500697
1.764940 1.500722
1.763175 1.500703
1.761412 1.500690
1.759650 1.500696
1.757891 1.500707
1.756133 1.500708
1.754377 1.500700
1.752622 1.500674
1.750870 1.500669
1.749119 1.500688
1.747370 1.500671
1.745622 1.500677
1.743877 1.500704
1.742133 1.500689
1.740391 1.500679
1.738650 1.500680
1.736912 1.500665
1.735175 1.500625
1.733440 1.500617
1.731706 1.500646
1.729974 1.500672
1.728244 1.500705
1.726516 1.500723
1.724790 1.500716
1.723065 1.500751
1.721342 1.500696
1.719620 1.500646
1.717901 1.500644
1.716183 1.500649
1.714467 1.500697
1.712752 1.500713
1.711040 1.500724
1.709329 1.500680
1.707619 1.500640
1.705912 1.500655
1.704206 1.500687
1.702501 1.500651
1.700799 1.500653
1.699098 1.500671
1.697399 1.500683
1.695702 1.500695
1.694006 1.500690
1.692312 1.500657
1.690620 1.500668
1.688929 1.500720
1.687240 1.500712
1.685553 1.500699
1.683867 1.500767
1.682183 1.500716
1.680501 1.500663
1.678821 1.500711
1.677142 1.500693
1.675465 1.500709
1.673789 1.500718
1.672116 1.500674
1.670443 1.500648
1.668773 1.500670
1.667104 1.500668
1.665437 1.500636
1.663772 1.500642
1.662108 1.500648
1.660446 1.500652
1.658785 1.500676
1.657127 1.500697
1.655469 1.500677
1.653814 1.500668
1.652160 1.500679
1.650508 1.500674
1.648857 1.500666
1.647209 1.500621
1.645561 1.500627
1.643916 1.500647
1.642272 1.500644
1.640630 1.500643
1.638989 1.500637
1.637350 1.500652
1.635713 1.500656
1.634077 1.500649
1.632443 1.500669
1.630810 1.500690
1.629180 1.500692
1.627550 1.500697
1.625923 1.500680
1.624297 1.500688
1.622673 1.500692
1.621050 1.500655
1.619429 1.500645
1.617810 1.500670
1.616192 1.500695
1.614576 1.500716
1.612961 1.500720
1.611348 1.500692
1.609737 1.500657
1.608127 1.500635
1.606519 1.500646
1.604912 1.500688
1.603307 1.500675
1.601704 1.500679
1.600102 1.500684
1.598502 1.500706
1.596904 1.500715
1.595307 1.500690
1.593712 1.500662
1.592118 1.500660
1.590526 1.500645
1.588935 1.500620
1.587346 1.500618
1.585759 1.500604
1.584173 1.500624
1.582589 1.500656
1.581006 1.500618
1.579425 1.500591
1.577846 1.500611
1.576268 1.500627
1.574692 1.500608
1.573117 1.500652
1.571544 1.500691
1.569972 1.500671
1.568402 1.500614
1.566834 1.500621
1.565267 1.500644
1.563702 1.500617
1.562138 1.500615
1.560576 1.500600
1.559016 1.500629
1.557457 1.500638
1.555899 1.500650
1.554343 1.500671
1.552789 1.500628
1.551236 1.500593
1.549685 1.500605
1.548135 1.500647
1.546587 1.500685
1.545040 1.500675
1.543495 1.500692
1.541952 1.500728
1.540410 1.500732
1.538870 1.500670
1.537331 1.500635
1.535793 1.500650
1.534258 1.500686
1.532723 1.500670
1.531191 1.500658
1.529659 1.500631
1.528130 1.500619
1.526602 1.500609
1.525075 1.500608
1.523550 1.500621
1.522026 1.500660
1.520504 1.500683
1.518984 1.500642
1.517465 1.500647
1.515947 1.500656
1.514431 1.500645
1.512917 1.500628
1.511404 1.500621
1.509893 1.500668
